New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex
B010,Blue Lagoon,,,B389,Fresh Blue,B389,Fresh Blue,5bc4d8
V33,Lavender Mist,,,B990,Pale Lavender,B990,Pale Lavender,d9dff0
WG12,Smoke White,,,BG041,Cool Grey 041,BG041,Cool Grey 041,e6e5e8
BGY05,Shark Grey,,,BG082,Cool Grey 082,BG082,Cool Grey 082,879098
CG26,Anchor Grey,,,CG051,Neutral Grey 051,CG051,Neutral Grey 051,999fa3
CG15,Slate Grey,,,,,CG081,Slategray,b1b7bb
CG16,Neutral Grey,,,,,CG083,Neutral Grey,acb4b9
GG18,Eclipse Grey,,,CG130,Neutral Grey 130,CG130,Neutral Grey 130,60646d
Y610,Sand,,,E182,Putty,E182,Putty,d7bb9f
E57,Cappuccino,,,,,E198,Light Grey Orange,cca694
E912,Hearthstone,,,E262,Tan,E262,Tan,a68681
Y57,Unbleached Titanium,,,E293,Pale Cream,E293,Pale Cream,fbcea0
E512,Espresso,,,,,E340,Burnt Sienna,846e6a
Y613,Twine Beige,,,E371,From Dust,E371,From Dust,bd9f7d
E315,Vandyke Brown,,,E440,Bronze,E440,Bronze,7b6c63
E312,Fennel Seed,,,E463,Walnut,E463,Walnut,af967a
YR316,Hazelnut Cocoa,,,E645,Burnt Orange,E645,Burnt Orange,8d6255
Y516,Walnut,,,E761,Vignone,E761,Vignone,9a6f5a
E613,Reddish Brown,,,E769,Brick Brown,E769,Brick Brown,99655f
G213,Rainforest Green,,,G458,Hunter Green,G458,Hunter Green,518f73
BG115,Dark Teal,,,G460,Deep Sky Blue,G460,Deep Sky Blue,5496a7
BG213,Bright Parrot Green,,,,,G463,Bright Parrot Green,43ac90
BG313,Lake Green,,,,,G474,Lake Green,39b1a2
BG010,Peacock Blue,,,G482,Ice Blue,G482,Ice Blue,37bebd
YG013,Chartreuse,,,G487,Chartreuse Green,G487,Chartreuse Green,c6bc5e
BGY17,Cyberspace,,,GG090,Green Grey 090,GG090,Green Grey 090,748087
RV45,Plum Blossom,,,R186,Dark Pink,R186,Dark Pink,d1b2c7
R17,Baby Pink,,,,,R188,Baby Skin Pink,fac4c5
YR44,Pale Complexion,,,R194,Skin White,R194,Skin White,f4ccc0
R68,Deep Mauve,,,R275,Orchid Smoke,R275,Orchid Smoke,a5828e
E714,Madder Brown,,,R446,Red Bean Paste,R446,Red Bean Paste,895a5d
R510,Wine Red,,,R457,Wine Red,R457,Wine Red,8e5768
R515,French Roast Coffee,,,,,R573,Grape Ash,7a5d60
R414,Light Maroon,,,R585,Vivid Red ,R585,Vivid Red ,bb667c
R111,Hot Pink Carnation,,,R588,Scarlet,R588,Scarlet,e5727e
R114,Scarlet,,,,,R688,Bright Orange,d55157
R214,Cranberry,,,R872,Tomato,R872,Tomato,af5065
RV24,Dull Pink,,,RV194,Medium Pink,RV194,Medium Pink,f3bbd6
V07,Smoky Lavender,,,V276,Royal Light,V276,Royal Light,a190c4
RV58,Deep Lilac,,,V280,Jacaranda,V280,Jacaranda,c492ba
V15,Wisteria,,,,,V285,Soft Violet,c1b0d3
RV315,Deep Pansy,,,,,V286,Hydrangea Violet,87487d
V24,Evening Petunia,,,V287,Purple Mallow,V287,Purple Mallow,beb2d8
V214,Purple,,,V660,Blue Violet,V660,Blue Violet,785ea8
WG23,Dorian Grey,,,WG160,Warm Grey 160,WG160,Warm Grey 160,cfcccb
WG35,Peppercorn Grey,,,WG190,Warm Grey 190,WG190,Warm Grey 190,807779
YR28,Apricot,,,,,Y360,Yellowish Orange,f8a684
Y08,Pineapple,,,Y397,Canaria Yellow,Y397,Canaria Yellow,ecd384
Y615,Olive Wood,,,Y468,Taffy,Y468,Taffy,a38065
Y310,Gold Satin,,,Y488,Shallow Earth,Y488,Shallow Earth,ddb16e
Y211,Deep Yellow,,,Y697,Deep Yellow,Y697,Deep Yellow,e0944b
YR115,Blood Orange,,,,,Y794,Sanguine Orang,ea7b55
YGY22,Grey Tint,,,YG020,Yellow Grey 020,YG020,Yellow Grey 020,d7d4d2
YGY25,Sea Salt,,,YG040,Yellow Grey 040,YG040,Yellow Grey 040,cacac5
YGY27,Deep Horizon Grey,,,YG150,Yellow Grey 150,YG150,Yellow Grey 150,9a988e
Y411,Eggshell Brown,,,YR394,Eggshell,YR394,Eggshell,f2b383
YR510,Spicy Salmon,,,YR493,Mid Orange,YR493,Mid Orange,f8a390
YR114,Deep Sunset Orange,,,YR892,French Vermillion,YR892,French Vermillion,f1735a
BV04,Light Cornflower,,,B188,Light Hydrangea,,,bcd1ed
BV34,Ice Blue,,,B194,Horizon Blue,,,c5ddec
BV19,Blue Iris,,,B271,Grayish Blue,,,9da2c3
B07,Light Blue,,,B292,Light Sky Blue,,,8dd6e9
BV37,Glacier Blue,,,B294,Galaxy Blue,,,79b1db
BV09,Deep Cornflower,,,B369,Purplish Blue,,,698ec8
BV59,Summer Sky,,,B384,Hydron Blue,,,77a6d9
BV014,Ultramarine,,,B768,Stratospheric Blue,,,3561ad
BV03,Powder Blue,,,B991,Pale Blue Gray,,,dae2f3
BGY36,Navy Grey,,,BG120,Cool grey 120,,,646f79
GG20,Pale Grey,,,CG021,Neutral Grey 021,,,dbe0dd
CG03,Beacon Grey,,,CG022,Neutral Grey 022,,,dde4e7
CG13,Thundercloud Grey,,,CG023,Neutral Grey 023,,,dbdddf
CG14,Pewter Grey,,,CG040,Neutral Grey 040,,,cfd0d2
CG27,Dark Grey,,,CG071,Neutral Grey 071,,,868a92
E64,Light Taupe,,,E180,Shallow Camelia,,,cbaca2
Y68,Light Milk Tea,,,E187,Milk Tea Multi,,,e3c7a9
E93,Rosy Grey,,,E188,Champagne,,,d7bfb9
E13,Limestone,,,E195,Shell White,,,d8ceba
Y66,Almond Cream,,,E286,Mushroom White,,,e6c2a0
E36,Old Salem Grey,,,E289,Lye Color,,,d7c1a3
E712,Sweet Rosy Brown,,,E355,Madder Red,,,a77477
E913,Walnut Brown,,,E356,Maroon,,,8c7372
E710,Copper Brown,,,E363,Red Bean,,,c28d88
YR310,Light Toffee,,,E384,Red Gray,,,d1957e
YR36,Orange Pie,,,E399,Sandy Brown,,,f4b69c
E411,Tumbleweed,,,E475,Tumbleweed,,,c59274
E915,Dark Bark Brown,,,E530,Dark Bark,,,625754
YGY03,Worldly Grey,,,E685,Gray Wolf Hair,,,e0d4cc
E30,French Grey,,,E989,Further Color of Skin,,,ddcfbf
FY03,Fluorescent Pink,,,FY040,Fluorescent Pink,,,ea73ad
G29,Faded Green,,,G271,Lieberman Green,,,8cb29c
YG313,Camo Green,,,G364,Seedling Green,,,94a57b
YG014,Matcha,,,G369,Matcha Green,,,a1a25a
E03,Pale Sage,,,G391,Pale Moss,,,eaebdc
G215,Dark Green,,,G448,Dark Green,,,507f6f
BG312,Deep Turquoise,,,G471,Mint Green,,,44b2a5
YG114,Olive Green,,,G578,Deep Yellow Green,,,b2a45b
BG22,Mint Mist,,,G693,Helsinki Green,,,cee9da
BGY08,Gentleman Grey,,,MG109,Blue Grey 109,,,5f7582
R613,Burgundy Bark,,,R341,Russet Brown,,,7d6469
R19,Amsterdam Rose,,,R394,Light Rouge,,,e17b82
R58,Garnet Rose,,,R480,Garnet Rose,,,b67084
YGY01,Cornforth White,,,RG020,Red Grey 020,,,eae6e3
WG24,Pavestone Grey,,,RG040,Red Grey 040,,,c3bbbc
WG05,Lavender Grey,,,RG140,Red Grey 140,,,d1cbd1
RV31,Lilac Mist,,,RV195,Cotton Candy,,,f6deeb
RV27,Orchid Pink,,,RV380,Raspberry,,,d88ebd
RV210,Red Violet,,,RV477,Calamus Color,,,bd6e9c
RV211,Dragonfruit Pink,,,RV593,Fuchsia,,,d45193
RV313,Dark Pansy,,,RV777,Azalea Purple,,,b64597
V35,Lavender Silk,,,V187,Vine Purple,,,bbbade
V23,Pale Lavender,,,V188,Sakura Purple,,,cfc8e2
V09,Vintage Purple,,,V268,Violet,,,9e7db8
V25,Violet Rose,,,V289,Mentha Piperita,,,c3add3
